מוסד,רשות,סוג פיקוח,מחוז,מגזר,מפקח,מנהל,כיתה,מקבילה,סוג חינוך כיתה,פוטנציאל תלמידים,קורסים שנפתחו,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
Totals,,,,,,,,,,"17,059",161,"10,096",59%,"8,270",48%,"7,886",46%
111328- כרמי יהודה,גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,אביתר חיים קלין,ז,4,רגיל,25,1,25,100%,25,100%,25,100%
111328- כרמי יהודה,גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,אביתר חיים קלין,ז,3,רגיל,23,1,23,100%,23,100%,23,100%
111328- כרמי יהודה,גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,אביתר חיים קלין,ז,2,רגיל,23,1,22,96%,20,87%,20,87%
111393- נועם בנות ק.משה,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,יואל דוב ורצברגר,אורית ווייל,ז,2,רגיל,27,1,27,100%,27,100%,27,100%
111393- נועם בנות ק.משה,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,יואל דוב ורצברגר,אורית ווייל,ז,1,רגיל,26,1,26,100%,26,100%,26,100%
111393- נועם בנות ק.משה,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,יואל דוב ורצברגר,אורית ווייל,ז,3,רגיל,27,1,27,100%,26,96%,26,96%
"111450- גוונים מ""מ",קרית ארבע,ממלכתי,ירושלים,יהודי,דורית מרגלית רזיאל אלישר,ענבל גונן,ז,1,רגיל,11,1,11,100%,11,100%,11,100%
112151- מצפה יריחו,מטה בנימין,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,יוסף יהושע יחזק פלהימר,ז,1,רגיל,20,1,2,10%,2,10%,2,10%
112250- עשה חייל,אפרת,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,תרזה שפרה פרנקל,ז,3,רגיל,24,1,22,92%,22,92%,22,92%
112250- עשה חייל,אפרת,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,תרזה שפרה פרנקל,ז,1,רגיל,27,1,25,93%,24,89%,24,89%
112516- מבוא חורון,מטה בנימין,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,ערן מרגלית,ז,1,רגיל,22,1,14,64%,11,50%,10,45%
