מוסד,רשות,סוג פיקוח,מחוז,מגזר,מפקח,מנהל,כיתה,מקבילה,סוג חינוך כיתה,פוטנציאל תלמידים,קורסים שנפתחו,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
148247- מקיף שש שנתי אלטור לבנים,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,מוחמד דעיס,ז,2,רגיל,26,1,26,100%,26,100%,26,100%
148247- מקיף שש שנתי אלטור לבנים,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,מוחמד דעיס,ז,1,רגיל,21,1,20,95%,20,95%,20,95%
148247- מקיף שש שנתי אלטור לבנים,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,מוחמד דעיס,ז,4,רגיל,28,1,2,7%,2,7%,2,7%
148254- שועפט בנות ב',ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,מיסון חלאק,ז,2,רגיל,34,1,33,97%,33,97%,33,97%
148262- אלעלא,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,סלאם עיד,ז,2,רגיל,27,1,24,89%,23,85%,22,81%
148262- אלעלא,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,סלאם עיד,ז,1,רגיל,25,1,13,52%,12,48%,12,48%
148288- כפר עקב,ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,אוסאמה טוטח,ז,3,רגיל,36,1,18,50%,16,44%,16,44%
148288- כפר עקב,ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,אוסאמה טוטח,ז,1,רגיל,37,1,12,32%,8,22%,8,22%
148288- כפר עקב,ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,אוסאמה טוטח,ז,2,רגיל,39,1,1,3%,0,0%,0,0%
160242- מקיף קשת,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,אורית צילה סומר,ז,2,רגיל,31,1,31,100%,4,13%,0,0%
160242- מקיף קשת,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,אורית צילה סומר,ז,1,רגיל,32,1,32,100%,1,3%,1,3%
160259- ליבי,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,ענבל ישראלי,ז,2,רגיל,24,1,24,100%,0,0%,0,0%
160259- ליבי,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,ענבל ישראלי,ז,1,רגיל,21,1,21,100%,0,0%,0,0%
160416- רעות קהילה דתית,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,עמיעד יעקב מלצר,ז,4,רגיל,27,1,27,100%,27,100%,27,100%
160416- רעות קהילה דתית,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,עמיעד יעקב מלצר,ז,1,רגיל,23,1,23,100%,23,100%,23,100%
160416- רעות קהילה דתית,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,עמיעד יעקב מלצר,ז,5,רגיל,27,1,26,96%,25,93%,25,93%
160416- רעות קהילה דתית,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,עמיעד יעקב מלצר,ז,3,רגיל,22,1,22,100%,20,91%,20,91%
160432- ברנקו וייס מקיף בית שמש,בית שמש,ממלכתי,ירושלים,יהודי,ציפי יעקב,שמעון ויס,ז,4,רגיל,30,1,30,100%,29,97%,29,97%
160432- ברנקו וייס מקיף בית שמש,בית שמש,ממלכתי,ירושלים,יהודי,ציפי יעקב,שמעון ויס,ז,7,רגיל,32,1,31,97%,30,94%,30,94%
160432- ברנקו וייס מקיף בית שמש,בית שמש,ממלכתי,ירושלים,יהודי,ציפי יעקב,שמעון ויס,ז,6,רגיל,28,1,28,100%,26,93%,26,93%
160432- ברנקו וייס מקיף בית שמש,בית שמש,ממלכתי,ירושלים,יהודי,ציפי יעקב,שמעון ויס,ז,1,רגיל,29,1,29,100%,25,86%,23,79%
160432- ברנקו וייס מקיף בית שמש,בית שמש,ממלכתי,ירושלים,יהודי,ציפי יעקב,שמעון ויס,ז,5,רגיל,29,1,29,100%,13,45%,11,38%
160473- אלוואדי למצוינות,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,עבדלרחמן אחסין,ז,3,רגיל,27,1,27,100%,27,100%,27,100%
160473- אלוואדי למצוינות,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,עבדלרחמן אחסין,ז,1,רגיל,29,1,28,97%,27,93%,27,93%
160473- אלוואדי למצוינות,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,עבדלרחמן אחסין,ז,2,רגיל,27,1,23,85%,22,81%,21,78%
"160549- אמי""ת איתן",מעלה אדומים,ממלכתי דתי,ירושלים,יהודי,יעקב עמר,שלמה אליהו דהן,ז,3,רגיל,24,1,19,79%,19,79%,19,79%
